identificadorEmpenho,numeroEmpenho,anoEmpenho,processoEmpenho,numeroDocumento,descricaoDocumento,codigoOrgao,codigoUnidade,dataEmissao,dataVencimento,dataPagamento,cpfCnpjCredor,razaoSocialCredor,valorDocumento,valorCancelado,valorPago,tipoDocumento,processoPagamento,nrNLP,anoNLP,codigoEmpresa,modifiedMode,usuarioOperacao
2591043,29779,2022,6016201700491958,OFICIO,REPASSE CEI HELENA QUINTA REIS,16,11,10/06/2022 00:00:00,01/07/2022 00:00:00,01/07/2022 00:00:00,06264961000190,ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL-AMAS-MOOCA,71505.4,0.0,71505.4,OUTROS,6016202200002360,132721,2022,01,5,
2591040,29777,2022,6016201700507056,OFICIO,REPASSE CEI HELENA DA SILVA TEIXEIRA,16,11,01/06/2022 00:00:00,01/07/2022 00:00:00,01/07/2022 00:00:00,48051502000178,OBRA SOCIAL SÃO JOSE DE VILA ZELINA,98227.56,0.0,98227.56,OUTROS,6016202200000716,132733,2022,01,5,
2579259,20386,2022,6016201700587629,S/Nº,CEI NAIR SALGADO - MENSAL JULHO/2022,16,12,13/07/2022 00:00:00,01/08/2022 00:00:00,01/08/2022 00:00:00,43633288000144,COR - CENTRO DE ORIENTACAO A FAMILIA,143092.43,0.0,143092.43,REQUERIMENTO,6016202200610980,155066,2022,01,5,
2579259,20386,2022,6016201700587629,S/Nº,CEI NAIR SALGADO - MENSAL JULHO/2022,16,12,13/07/2022 00:00:00,01/08/2022 00:00:00,01/08/2022 00:00:00,43633288000144,COR - CENTRO DE ORIENTACAO A FAMILIA,143092.43,0.0,143092.43,REQUERIMENTO,6016202200610980,155066,2022,01,5,
2579259,20386,2022,6016201700587629,S/Nº,CEI NAIR SALGADO - MENSAL JULHO/2022,16,12,13/07/2022 00:00:00,01/08/2022 00:00:00,01/08/2022 00:00:00,43633288000144,COR - CENTRO DE ORIENTACAO A FAMILIA,143092.43,0.0,143092.43,REQUERIMENTO,6016202200610980,155066,2022,01,5,
2579259,20386,2022,6016201700587629,S/Nº,CEI NAIR SALGADO - MENSAL JULHO/2022,16,12,13/07/2022 00:00:00,01/08/2022 00:00:00,01/08/2022 00:00:00,43633288000144,COR - CENTRO DE ORIENTACAO A FAMILIA,143092.43,0.0,143092.43,REQUERIMENTO,6016202200610980,155066,2022,01,5,
2591040,29777,2022,6016201700507056,OFICIO JULHO,REPASSE CEI HELENA DA SILVA TEIXEIRA,16,11,01/07/2022 00:00:00,01/08/2022 00:00:00,01/08/2022 00:00:00,48051502000178,OBRA SOCIAL SÃO JOSE DE VILA ZELINA,98338.37,0.0,98338.37,OUTROS,6016202200000716,161058,2022,01,5,
2591043,29779,2022,6016201700491958,OFICIO JULHO,REPASSE CEI HELENA QUINTA REIS,16,11,05/07/2022 00:00:00,01/08/2022 00:00:00,01/08/2022 00:00:00,06264961000190,ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL-AMAS-MOOCA,70346.87,0.0,70346.87,OUTROS,6016202200002360,161059,2022,01,5,
2579259,20386,2022,6016201700587629,AGOSTO,CEI NAIR SALGADO - MENSAL - AGOSTO/2022,16,12,10/08/2022 00:00:00,01/09/2022 00:00:00,01/09/2022 00:00:00,43633288000144,COR - CENTRO DE ORIENTACAO A FAMILIA,228460.88,0.0,228460.88,REQUERIMENTO,6016202200610980,183521,2022,01,5,
2591043,29779,2022,6016201700491958,OFICIO AGOSTO,REPASSE CEI HELENA QUINTA REIS,16,11,03/08/2022 00:00:00,01/09/2022 00:00:00,01/09/2022 00:00:00,06264961000190,ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL-AMAS-MOOCA,107070.15,0.0,107070.15,OUTROS,6016202200002360,189221,2022,01,5,
